,precision,recall,f1-score,support
0,0.8501683501683501,0.926605504587156,0.8867427568042142,545.0
1,0.863481228668942,0.7397660818713451,0.7968503937007875,342.0
accuracy,0.85456595264938,0.85456595264938,0.85456595264938,0.85456595264938
macro avg,0.856824789418646,0.8331857932292506,0.8417965752525008,887.0
weighted avg,0.8553013878765828,0.85456595264938,0.8520830181555423,887.0
